year,proceeding_link,paper_link,title,authors,abstract
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/01e00f2f4bfcbb7505cb641066f2859b-Abstract.html,Regular and Irregular Gallager-zype Error-Correcting Codes,"Yoshiyuki Kabashima, Tatsuto Murayama, David Saad, Renato Vicente",The  performance  of  regular  and  irregular  Gallager-type  error(cid:173) correcting code  is  investigated  via  methods  of statistical  physics.  The transmitted codeword comprises products of the original mes(cid:173) sage  bits  selected  by  two  randomly-constructed  sparse  matrices;  the  number  of  non-zero  row/column  elements  in  these  matrices  constitutes  a  family  of codes.  We  show  that  Shannon's  channel  capacity may  be saturated in equilibrium for  many  of the regular  codes while slightly lower performance is obtained for others which  may  be  of higher  practical  relevance.  Decoding  aspects  are  con(cid:173) sidered  by employing the TAP  approach  which  is  identical  to the  commonly used  belief-propagation-based decoding.  We  show that  irregular codes may saturate Shannon's capacity but with improved  dynamical properties.
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/02f039058bd48307e6f653a2005c9dd2-Abstract.html,An MEG Study of Response Latency and Variability in the Human Visual System During a Visual-Motor Integration Task,"Akaysha C. Tang, Barak A. Pearlmutter, Tim A. Hely, Michael Zibulevsky, Michael P. Weisend","Human  reaction  times  during  sensory-motor  tasks  vary  consider(cid:173) ably.  To  begin to understand how  this variability arises, we  exam(cid:173) ined neuronal populational response time variability at early versus  late  visual  processing  stages.  The  conventional  view  is  that  pre(cid:173) cise temporal information is gradually lost as information is passed  through a  layered network of mean-rate  ""units.""  We  tested in hu(cid:173) mans  whether  neuronal  populations  at different  processing  stages  behave like mean-rate ""units"".  A blind source separation algorithm  was  applied to MEG signals from  sensory-motor integration tasks.  Response  time  latency  and  variability  for  multiple  visual  sources  were estimated by  detecting single-trial stimulus-locked events for  each  source.  In  two  subjects  tested  on  four  visual  reaction  time  tasks,  we  reliably identified sources  belonging to early and late vi(cid:173) sual processing stages.  The standard deviation of response latency  was smaller for  early rather than late processing stages.  This sup(cid:173) ports the  hypothesis that human populational response  time vari(cid:173) ability increases from  early to late visual  processing stages."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/08e6bea8e90ba87af3c9554d94db6579-Abstract.html,The Entropy Regularization Information Criterion,"Alex J. Smola, John Shawe-Taylor, Bernhard Schölkopf, Robert C. Williamson","Effective methods of capacity control via uniform convergence bounds  for function expansions have been largely limited to Support Vector ma(cid:173) chines,  where  good  bounds  are  obtainable  by  the  entropy  number ap(cid:173) proach. We extend these methods to systems with expansions in terms of  arbitrary (parametrized) basis functions and a wide range of regulariza(cid:173) tion methods covering the whole range of general linear additive models.  This is  achieved by  a data dependent analysis of the eigenvalues of the  corresponding design matrix."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/0efbe98067c6c73dba1250d2beaa81f9-Abstract.html,Invariant Feature Extraction and Classification in Kernel Spaces,"Sebastian Mika, Gunnar Rätsch, Jason Weston, Bernhard Schölkopf, Alex J. Smola, Klaus-Robert Müller","In hyperspectral imagery one pixel  typically  consists of a  mixture  of the  reflectance  spectra of several  materials,  where  the  mixture  coefficients  correspond  to  the  abundances of the  constituting  ma(cid:173) terials.  We  assume linear combinations of reflectance spectra with  some additive normal sensor noise and derive a  probabilistic MAP  framework  for  analyzing  hyperspectral  data.  As  the  material re(cid:173) flectance characteristics are not know  a priori, we face  the problem  of  unsupervised  linear  unmixing.  The  incorporation  of  different  prior  information  (e.g.  positivity  and  normalization  of the  abun(cid:173) dances)  naturally  leads  to  a  family  of  interesting  algorithms,  for  example  in  the  noise-free  case  yielding  an  algorithm  that  can  be  understood as constrained independent component analysis (ICA).  Simulations underline the usefulness of our theory."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/10c272d06794d3e5785d5e7c5356e9ff-Abstract.html,Correctness of Belief Propagation in Gaussian Graphical Models of Arbitrary Topology,"Yair Weiss, William T. Freeman","Local ""belief propagation"" rules of the  sort proposed by Pearl  [15]  are  guaranteed  to  converge to  the  correct  posterior probabilities  in  singly  connected graphical models. Recently, a number of researchers have em(cid:173) pirically demonstrated good performance of ""loopy belief propagation""(cid:173) using these same rules on graphs with loops.  Perhaps the most dramatic  instance is the near Shannon-limit performance of ""Turbo codes"", whose  decoding algorithm is equivalent to loopy belief propagation.  Except for the case of graphs with a single loop, there has been little theo(cid:173) retical understanding of the performance of loopy propagation. Here we  analyze belief propagation in  networks  with  arbitrary  topologies  when  the nodes in  the graph describe jointly Gaussian random variables.  We  give an analytical formula relating the true  posterior probabilities with  those calculated using loopy propagation.  We give sufficient conditions  for convergence and show that when belief propagation converges it gives  the correct posterior means for all graph  topologies,  not just networks  with a single loop.  The related ""max-product"" belief propagation algorithm finds  the max(cid:173) imum posterior probability estimate for singly connected networks.  We  show  that,  even for non-Gaussian probability distributions,  the  conver(cid:173) gence points of the max-product algorithm in loopy  networks are  max(cid:173) ima  over a  particular large  local  neighborhood of the  posterior proba(cid:173) bility.  These results  help clarify  the  empirical performance results  and  motivate  using  the  powerful  belief propagation algorithm in  a  broader  class of networks. 
Problems involving probabilistic belief propagation arise in a wide variety of applications,  including error correcting codes,  speech recognition and medical diagnosis.  If the  graph  is  singly connected, there exist local message-passing schemes to  calculate the  posterior  probability of an unobserved variable given the observed variables.  Pearl [15] derived such  a scheme for singly connected Bayesian networks and showed that this ""belief propagation""  algorithm is guaranteed to converge to the correct posterior probabilities (or ""beliefs""). 
Several groups have recently reported excellent experimental results by running algorithms 
674 
Y.  Weiss  and W T.  Freeman 
equivalent to Pearl's algorithm on networks with loops [8, 13, 6].  Perhaps the most dramatic  instance of this performance is for ""Turbo code""  [2]  error correcting codes.  These codes  have been described as ""the most exciting and potentially important development in coding  theory  in  many years"" [12]  and have recently been shown  [10,  11] to utilize an algorithm  equivalent to belief propagation in a network with loops. 
Progress in the analysis of loopy belief propagation has been made for the case of networks  with  a  single  loop  [17,  18,  4,  1].  For  these  networks,  it  can  be  shown  that  (1)  unless  all  the  compatabilities are  deterministic,  loopy belief propagation will converge.  (2) The  difference between the loopy beliefs and the true beliefs is related to the convergence rate  the faster the convergence the more exact the approximation and (3) If  of the messages - the hidden nodes are binary, then the loopy beliefs and the true beliefs are both maximized  by the same assignments, although the confidence in that assignment is wrong for the loopy  beliefs. 
In this paper we analyze belief propagation in  graphs of arbitrary topology, for nodes de(cid:173) scribing jointly Gaussian random variables.  We  give an exact formula relating the correct  marginal  posterior probabilities with  the  ones calculated using  loopy  belief propagation.  We  show that if belief propagation converges, then it will give the correct posterior means  for all graph  topologies, not just networks with  a single loop.  We  show that the covari(cid:173) ance estimates will  generally be  incorrect but present a relationship between the error in  the covariance estimates and the convergence speed.  For Gaussian or non-Gaussian vari(cid:173) ables,  we  show  that the  ""max-product"" algorithm,  which  calculates the MAP estimate in  singly connected networks, only converges to points that are maxima over a particular large  neighborhood of the posterior probability of loopy networks."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/11c484ea9305ea4c7bb6b2e6d570d466-Abstract.html,Population Decoding Based on an Unfaithful Model,"Si Wu, Hiroyuki Nakahara, Noboru Murata, Shun-ichi Amari","We study a population decoding paradigm in which the maximum likeli(cid:173) hood inference is based on an  unfaithful decoding model (UMLI). This  is usually the case for neural population decoding because the encoding  process  of the  brain  is  not exactly  known,  or because a  simplified de(cid:173) coding model  is  preferred for  saving computational cost.  We  consider  an  unfaithful  decoding model  which  neglects the  pair-wise  correlation  between neuronal activities, and prove that UMLI is asymptotically effi(cid:173) cient when the neuronal correlation is uniform or of limited-range.  The  performance of UMLI is compared with that of the maximum likelihood  inference based on  a faithful  model  and  that of the  center of mass de(cid:173) coding  method.  It turns  out  that  UMLI  has  advantages  of decreasing  the computational complexity remarkablely and maintaining a high-level  decoding  accuracy  at  the  same  time.  The  effect of correlation  on  the  decoding accuracy is also discussed."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/11d0e6287202fced83f79975ec59a3a6-Abstract.html,Broadband Direction-Of-Arrival Estimation Based on Second Order Statistics,"Justinian P. Rosca, Joseph Ó Ruanaidh, Alexander Jourjine, Scott Rickard","N  wideband  sources  recorded  using  N  closely  spaced  receivers  can  feasibly  be separated  based  only  on  second  order statistics when  using  a physical model  of the mixing process.  In  this case  we  show that  the  parameter estimation problem can  be essentially reduced to considering  directions of arrival and attenuations of each signal.  The paper presents  two demixing methods operating in  the time and frequency  domain and  experimentally shows that it is always possible to demix signals arriving at  different angles.  Moreover,  one can use spatial cues to solve the channel  selection  problem  and  a post-processing Wiener filter  to  ameliorate the  artifacts caused by demixing."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/148510031349642de5ca0c544f31b2ef-Abstract.html,Emergence of Topography and Complex Cell Properties from Natural Images using Extensions of ICA,"Aapo Hyvärinen, Patrik O. Hoyer","Independent  component  analysis of natural images  leads to emer(cid:173) gence  of  simple  cell  properties,  Le.  linear  filters  that  resemble  wavelets  or  Gabor  functions.  In  this  paper,  we  extend  ICA  to  explain further properties of VI cells.  First, we decompose natural  images  into  independent  subspaces  instead of scalar  components.  This  model  leads  to  emergence  of phase  and  shift  invariant  fea(cid:173) tures,  similar  to  those  in  VI  complex  cells.  Second,  we  define  a  topography between the linear components obtained by ICA.  The  topographic distance between  two components is  defined  by  their  higher-order correlations, so that two components are close to each  other  in  the  topography  if  they  are  strongly  dependent  on  each  other.  This  leads  to simultaneous emergence  of both  topography  and invariances similar to complex cell  properties."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/158fc2ddd52ec2cf54d3c161f2dd6517-Abstract.html,Reinforcement Learning Using Approximate Belief States,"Andres C. Rodriguez, Ronald Parr, Daphne Koller","The problem of developing good policies for partially observable Markov  decision  problems (POMDPs) remains one of the  most challenging ar(cid:173) eas of research  in  stochastic planning.  One line of research  in  this  area  involves  the use  of reinforcement learning  with  belief states,  probabil(cid:173) ity  distributions  over  the  underlying  model  states.  This  is  a  promis(cid:173) ing method for  small problems,  but its  application is  limited  by  the  in(cid:173) tractability of computing or representing a full belief state for large prob(cid:173) lems.  Recent  work  shows  that,  in  many  settings,  we  can  maintain  an  approximate belief state, which is fairly close to the true belief state.  In  particular,  great success has  been shown  with  approximate belief states  that marginalize out correlations between  state  variables.  In  this  paper,  we investigate two methods of full belief state reinforcement learning and  one novel method for reinforcement learning using factored approximate  belief states. We compare the performance of these algorithms on several  well-known problem from the literature. Our results demonstrate the im(cid:173) portance of approximate belief state representations for large problems."
1999,https://papers.nips.cc/paper_files/paper/1999,https://papers.nips.cc/paper_files/paper/1999/hash/17ed8abedc255908be746d245e50263a-Abstract.html,Building Predictive Models from Fractal Representations of Symbolic Sequences,"Peter Tiño, Georg Dorffner","We propose a novel approach for building finite memory predictive mod(cid:173) els similar in spirit to variable memory length Markov models (VLMMs).  The models are constructed by first transforming the n-block structure of  the training sequence into a spatial structure of points in a unit hypercube,  such that the  longer is the common suffix shared by any  two n-blocks,  the closer lie their point representations. Such a transformation embodies  a Markov assumption - n-blocks with long common suffixes  are likely  to produce similar continuations.  Finding a set of prediction contexts is  formulated as a resource allocation problem solved by vector quantizing  the spatial n-block representation. We compare our model with both the  classical  and variable memory length Markov models on three data sets  with different memory  and stochastic components.  Our models have  a  superior performance, yet, their construction is fully automatic, which is  shown to be problematic in the case of VLMMs."
